City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lorengau,PG,2021-07-28 02:53:23,-2.0226,147.2712,84.58,72,5,6.29
67,Talcahuano,CL,2021-07-28 02:53:24,-36.7167,-73.1167,47.88,61,0,12.66
68,Alyangula,AU,2021-07-28 02:53:24,-13.8483,136.4192,87.67,48,72,9.22
69,Castle Rock,US,2021-07-28 02:53:25,39.3722,-104.8561,84.42,42,1,4.0
70,Auch,FR,2021-07-28 02:53:25,43.65,0.5833,63.23,97,100,4.54
71,Jamestown,US,2021-07-28 02:53:25,42.097,-79.2353,68.72,82,1,3.8
72,Yaritagua,VE,2021-07-28 02:53:26,10.08,-69.1261,67.26,98,97,2.19
73,Cabo San Lucas,MX,2021-07-28 02:51:59,22.8909,-109.9124,86.81,74,7,8.01
74,Saint-Joseph,RE,2021-07-28 02:53:27,-21.3667,55.6167,66.58,85,59,14.09
75,Hobart,AU,2021-07-28 02:48:40,-42.8794,147.3294,57.25,58,75,5.99
76,Cherskiy,RU,2021-07-28 02:53:16,68.75,161.3,38.23,75,100,18.63
77,Atuona,PF,2021-07-28 02:53:27,-9.8,-139.0333,77.83,71,1,17.92
78,Poum,NC,2021-07-28 02:53:28,-20.2333,164.0167,72.55,59,5,14.52
79,Leningradskiy,RU,2021-07-28 02:53:28,69.3833,178.4167,33.73,98,100,9.98
80,Ocos,GT,2021-07-28 02:53:29,14.5094,-92.1933,83.32,73,16,1.74
81,Kaitangata,NZ,2021-07-28 02:52:23,-46.2817,169.8464,55.92,51,68,1.03
82,San Cristobal,VE,2021-07-28 02:50:41,7.7669,-72.225,73.58,95,60,1.5
83,Vila Franca Do Campo,PT,2021-07-28 02:53:30,37.7167,-25.4333,68.41,89,11,7.43
84,Ayr,GB,2021-07-28 02:53:30,55.4627,-4.6339,59.49,100,40,2.3
85,Bonnyville,CA,2021-07-28 02:53:30,54.2668,-110.735,75.0,35,0,8.03
86,Esperance,AU,2021-07-28 02:53:31,-33.8667,121.9,55.24,52,3,18.57
87,Gravdal,NO,2021-07-28 02:53:32,68.1214,13.5031,57.24,81,1,8.34
88,San Patricio,US,2021-07-28 02:53:32,28.017,-97.5169,84.83,68,20,7.65
89,Sao Raimundo Das Mangabeiras,BR,2021-07-28 02:48:59,-7.0219,-45.4811,78.12,40,30,1.1
90,Miramar,US,2021-07-28 02:53:33,25.9873,-80.2323,82.02,89,90,3.74
91,Mushie,CD,2021-07-28 02:53:33,-3.0167,16.9,67.35,35,6,3.38
92,Datong,CN,2021-07-28 02:53:33,40.0936,113.2914,81.07,45,85,3.78
93,Egvekinot,RU,2021-07-28 02:53:34,66.3167,-179.1667,39.74,90,100,11.77
94,Buraydah,SA,2021-07-28 02:53:34,26.326,43.975,91.85,18,20,9.93
95,Lebu,CL,2021-07-28 02:53:35,-37.6167,-73.65,45.07,81,0,19.69
96,Cape Town,ZA,2021-07-28 02:50:31,-33.9258,18.4232,52.12,87,20,3.44
97,Vila,PT,2021-07-28 02:53:35,42.0304,-8.1588,52.7,83,5,5.06
98,Longyearbyen,SJ,2021-07-28 02:53:36,78.2186,15.6401,42.49,98,100,0.78
99,Anito,PH,2021-07-28 02:53:36,12.4497,125.2886,91.62,53,83,11.59
100,Portland,US,2021-07-28 02:52:54,45.5234,-122.6762,86.04,43,40,3.0
101,Biak,ID,2021-07-28 02:53:37,-0.9131,122.8766,82.89,68,77,6.87
102,Faya,SA,2021-07-28 02:53:37,18.3851,42.4509,64.51,84,75,5.82
103,Dikson,RU,2021-07-28 02:53:38,73.5069,80.5464,37.31,99,100,12.08
104,Caravelas,BR,2021-07-28 02:53:38,-17.7125,-39.2481,70.63,89,2,6.02
