City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yulara,AU,2021-08-02 01:09:38,-25.2406,130.9889,57.04,41,0,12.66
68,Guerrero Negro,MX,2021-08-02 01:05:33,27.9769,-114.0611,78.21,66,0,16.78
69,Ancud,CL,2021-08-02 01:09:39,-41.8697,-73.8203,47.73,86,100,3.36
70,Albany,US,2021-08-02 01:05:07,42.6001,-73.9662,65.08,93,100,1.3
71,Lebu,CL,2021-08-02 01:08:57,-37.6167,-73.65,49.82,80,5,19.19
72,Ha Tinh,VN,2021-08-02 01:09:40,18.3333,105.9,81.93,76,100,7.52
73,Gazanjyk,TM,2021-08-02 01:09:40,39.2446,55.5154,80.38,16,2,3.31
74,Ginda,IN,2021-08-02 01:09:40,30.6945,78.4932,66.24,85,100,3.15
75,Cam Ranh,VN,2021-08-02 01:09:41,11.9214,109.1591,87.76,62,0,12.66
76,Ust-Kut,RU,2021-08-02 01:09:41,56.7938,105.7672,68.72,44,0,2.89
77,Cabo San Lucas,MX,2021-08-02 01:09:18,22.8909,-109.9124,93.51,64,20,5.01
78,Kanniyakumari,IN,2021-08-02 01:09:42,8.0833,77.5667,79.2,78,100,19.24
79,Excelsior Springs,US,2021-08-02 01:09:40,39.3392,-94.2261,79.72,62,90,5.75
80,Puerto Ayora,EC,2021-08-02 01:09:43,-0.7393,-90.3518,69.55,94,42,5.01
81,Souillac,MU,2021-08-02 01:09:43,-20.5167,57.5167,66.36,74,0,11.86
82,Saint-Francois,FR,2021-08-02 01:09:43,46.4154,3.9054,54.68,94,40,1.14
83,Kapaa,US,2021-08-02 01:09:44,22.0752,-159.319,85.98,75,75,4.0
84,Evensk,RU,2021-08-02 01:09:44,61.95,159.2333,50.05,74,100,18.7
85,Pitimbu,BR,2021-08-02 01:09:45,-7.4706,-34.8086,72.19,83,26,16.58
86,Akdepe,TM,2021-08-02 01:09:45,42.0551,59.3788,71.69,27,0,9.62
87,Tukan,RU,2021-08-02 01:09:46,53.8409,57.4552,58.24,75,92,2.84
88,Kahului,US,2021-08-02 01:08:33,20.8947,-156.47,85.26,62,20,33.38
89,Cherskiy,RU,2021-08-02 01:08:05,68.75,161.3,42.1,68,84,21.77
