City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
967,Chacabuco,AR,45.81,few clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
979,Hokitika,NZ,53.64,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
980,Mar Del Plata,AR,43.09,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
987,Chute-Aux-Outardes,CA,57.18,overcast clouds,49.1168,-68.399,Camp St-Paul Gite Plein-Air
991,Esperance,AU,54.91,light rain,-33.8667,121.9,Hospitality Esperance
999,Paamiut,GL,45.97,light rain,61.994,-49.6678,Hotel Ivaana
1004,Tiksi,RU,52.52,few clouds,71.6872,128.8694,Arktika
1012,Tromso,NO,47.05,overcast clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
1013,Okato,NZ,57.42,overcast clouds,-39.2,173.8833,Goodin Country Garden
1014,Mount Gambier,AU,57.11,clear sky,-37.8333,140.7667,The Commodore
1016,Hofn,IS,53.47,overcast clouds,64.2539,-15.2082,Hótel Höfn
1018,Narsaq,GL,55.62,light rain,60.9167,-46.05,Narsaq Kayak Hostel
1020,Valparaiso,CL,51.48,clear sky,-33.0393,-71.6273,Hotel Ultramar
1022,Kaitangata,NZ,53.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
1024,Sistranda,NO,50.9,scattered clouds,63.7256,8.834,Hotell Frøya
1025,Codrington,AU,55.08,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
1030,Palana,RU,45.5,light rain,59.1167,159.9667,Chikago
1042,Port Lincoln,AU,52.56,light rain,-34.7333,135.8667,Port Lincoln Hotel
1046,Coihaique,CL,49.95,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
1047,Kendal,GB,58.1,overcast clouds,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resort
1053,Weimar,DE,57.81,broken clouds,50.9833,11.3167,Hotel Elephant
1055,Snezhnogorsk,RU,51.58,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
